selection_date,validation_start,validation_end,candidate_id,up_trigger,strong_up_trigger,max_up_bonus,full_stock_up_trigger,full_stock_high_vol_max,no_trade_band,score,sharpe,calmar,mdd,annual_turnover,custom_up_ratio,changed_params,mdd_penalty,turnover_penalty,custom_up_penalty,change_penalty
2014-02-05 00:00:00,2013-01-07 00:00:00,2014-01-06 00:00:00,10,0.5,0.7,0.06,0.85,0.2,0.12,5.40335362310223,2.2164600639799645,4.306169924570533,-0.05150877997761483,1.3505297566770038,0.1746031746031746,5,0.0,0.1080423805341603,0.0,0.15
2014-02-05 00:00:00,2013-01-07 00:00:00,2014-01-06 00:00:00,11,0.5,0.7,0.06,0.85,0.2,0.16,5.315800190155416,2.2360755907024905,4.143392290536139,-0.051705886240787535,0.6873654121998276,0.1746031746031746,6,0.0,0.05498923297598621,0.0,0.18
2014-02-05 00:00:00,2013-01-07 00:00:00,2014-01-06 00:00:00,12,0.5,0.7,0.06,0.9,0.15,0.12,5.40335362310223,2.2164600639799645,4.306169924570533,-0.05150877997761483,1.3505297566770038,0.1746031746031746,5,0.0,0.1080423805341603,0.0,0.15
2014-02-05 00:00:00,2013-01-07 00:00:00,2014-01-06 00:00:00,13,0.5,0.7,0.06,0.9,0.15,0.16,5.315800190155416,2.2360755907024905,4.143392290536139,-0.051705886240787535,0.6873654121998276,0.1746031746031746,6,0.0,0.05498923297598621,0.0,0.18
2014-02-05 00:00:00,2013-01-07 00:00:00,2014-01-06 00:00:00,14,0.5,0.7,0.06,0.9,0.2,0.12,5.40335362310223,2.2164600639799645,4.306169924570533,-0.05150877997761483,1.3505297566770038,0.1746031746031746,5,0.0,0.1080423805341603,0.0,0.15
2014-02-05 00:00:00,2013-01-07 00:00:00,2014-01-06 00:00:00,15,0.5,0.7,0.06,0.9,0.2,0.16,5.315800190155416,2.2360755907024905,4.143392290536139,-0.051705886240787535,0.6873654121998276,0.1746031746031746,6,0.0,0.05498923297598621,0.0,0.18
2014-02-05 00:00:00,2013-01-07 00:00:00,2014-01-06 00:00:00,16,0.5,0.75,0.03,0.85,0.15,0.12,5.340635085759518,2.2213238227730376,4.197160586394416,-0.051705886240787535,1.1052150766131572,0.1746031746031746,5,0.0,0.08841720612905257,0.0,0.15
2014-02-05 00:00:00,2013-01-07 00:00:00,2014-01-06 00:00:00,17,0.5,0.75,0.03,0.85,0.15,0.16,5.315800190155416,2.2360755907024905,4.143392290536139,-0.051705886240787535,0.6873654121998276,0.1746031746031746,6,0.0,0.05498923297598621,0.0,0.18
2014-02-05 00:00:00,2013-01-07 00:00:00,2014-01-06 00:00:00,18,0.5,0.75,0.03,0.85,0.2,0.12,5.340635085759518,2.2213238227730376,4.197160586394416,-0.051705886240787535,1.1052150766131572,0.1746031746031746,5,0.0,0.08841720612905257,0.0,0.15
2014-02-05 00:00:00,2013-01-07 00:00:00,2014-01-06 00:00:00,19,0.5,0.75,0.03,0.85,0.2,0.16,5.315800190155416,2.2360755907024905,4.143392290536139,-0.051705886240787535,0.6873654121998276,0.1746031746031746,6,0.0,0.05498923297598621,0.0,0.18
2014-02-05 00:00:00,2013-01-07 00:00:00,2014-01-06 00:00:00,20,0.5,0.75,0.03,0.9,0.15,0.12,5.340635085759518,2.2213238227730376,4.197160586394416,-0.051705886240787535,1.1052150766131572,0.1746031746031746,5,0.0,0.08841720612905257,0.0,0.15
2014-02-05 00:00:00,2013-01-07 00:00:00,2014-01-06 00:00:00,21,0.5,0.75,0.03,0.9,0.15,0.16,5.315800190155416,2.2360755907024905,4.143392290536139,-0.051705886240787535,0.6873654121998276,0.1746031746031746,6,0.0,0.05498923297598621,0.0,0.18
