ticker,ph_rank_bin_756,count,start_date,end_date,avg_stock_weight,avg_base_signal_stock_weight,avg_signal_stock_weight,avg_ph_raw,avg_ph_ewma,avg_ph_rank_504,avg_ph_rank_756,avg_ph_z_756,avg_up_strength_score,avg_down_strength_score,offensive_activation_rate,tier3_rate,ph_context_available_rate_756,strategy_ann_return,strategy_mdd,strategy_gross_ann_return,bh_ann_return,bh_mdd,bh_gap_ann_return
AAPL,00_30,896,2015-03-02 00:00:00,2026-02-06 00:00:00,0.8436607142857143,0.802232142857143,0.8485267857142856,0.29000759652699337,0.31148080815728757,0.15054120606575963,0.14809031576330342,-1.1398533577724035,0.25146129164217085,0.3119662413001873,0.32254464285714285,0.22433035714285715,1.0,0.3052456185939527,-0.17951692153436227,0.30974244001606754,0.37013831477559433,-0.18782455202990378,-0.06489269618164162
AAPL,30_50,508,2015-02-02 00:00:00,2026-05-07 00:00:00,0.8193700787401577,0.7233070866141732,0.8185826771653544,0.42116258970835785,0.4325884783806751,0.3942280652418448,0.4029855774611819,-0.38374885849016216,0.30283102616997626,0.3431399154674009,0.39173228346456695,0.297244094488189,1.0,0.1301664305295014,-0.2209057752042316,0.13689541886201773,0.11543644451189206,-0.23847975488635842,0.014729986017609331
AAPL,50_70,583,2015-01-13 00:00:00,2026-04-30 00:00:00,0.78147512864494,0.6594854202401372,0.7786277873070326,0.5194207898786812,0.5131164565405628,0.6065813117699911,0.5992528261165847,0.18760020089846202,0.3303376974856272,0.31870955356397096,0.3996569468267582,0.27958833619210977,1.0,0.31107479112900194,-0.26894568301212574,0.3205838984811411,0.3436117946928763,-0.35978300455098844,-0.032537003563874345
AAPL,70_85,412,2015-01-02 00:00:00,2026-04-27 00:00:00,0.7238349514563106,0.5712135922330096,0.7231067961165047,0.6464529126991058,0.6280850996598706,0.7922253043612267,0.7727766519494702,0.8156932524304756,0.3694473297706868,0.30028792625055356,0.4563106796116505,0.20145631067961164,1.0,0.07001564605519439,-0.21532224545043643,0.07820490451682538,0.09706020522287462,-0.2905505480799171,-0.027044559167680227
AAPL,85_95,299,2015-01-06 00:00:00,2026-04-08 00:00:00,0.6349832775919731,0.48876254180602,0.6349163879598662,0.7528887777922545,0.7234738442926515,0.9065403195837978,0.8962600593357357,1.491575068446922,0.4039828285951083,0.26194083945292257,0.4180602006688963,0.08361204013377926,1.0,0.16794219181013537,-0.18316430044308707,0.17828923112478412,0.32357375231064434,-0.27486213834538364,-0.15563156050050897
AAPL,95_100,155,2015-08-21 00:00:00,2025-05-27 00:00:00,0.48309677419354835,0.40077419354838706,0.4753548387096775,0.8509627197634791,0.822782407342884,0.9823348694316436,0.9819075519053454,2.0371970664958297,0.2728267678937584,0.38823379059519963,0.2064516129032258,0.0,1.0,0.008768548475136528,-0.12503459917978132,0.016658193683162903,0.023540275805078004,-0.2588689986469458,-0.014771727329941475
AAPL,raw_fallback,504,2013-01-02 00:00:00,2014-12-31 00:00:00,0.800436507936508,0.6717063492063491,0.8001587301587303,0.4916716928460768,0.49277886412324295,,,,0.3190021051609024,0.2871335045349315,0.4027777777777778,0.23214285714285715,0.0,0.18501239521388757,-0.21857310620904058,0.19150907677786688,0.19835030189685154,-0.2546372645835737,-0.013337906682963974
